Name,EntityID
7-up,WATSON_7-up
7-ups,WATSON_7-up
abalone,WATSON_Abalon
abalones,WATSON_Abalon
absinthe,WATSON_Absinth
absinthes,WATSON_Absinth
acai,WATSON_Acai
acais,WATSON_Acai
ackee,WATSON_Acke
ackees,WATSON_Acke
acohol,WATSON_Acohol
acohols,WATSON_Acohol
acorn,WATSON_Acorn
acorns,WATSON_Acorn
acorn squash,WATSON_AcornSquash
acorn squashes,WATSON_AcornSquash
aduki beans,WATSON_AdukiBean
advocaat,WATSON_Advocaat
advocaats,WATSON_Advocaat
agar,WATSON_Agar
agars,WATSON_Agar
agave,WATSON_Agav
agaves,WATSON_Agav
aguardiente,WATSON_Aguardient
aguardientes,WATSON_Aguardient
albumen,WATSON_Albumen
alcapurria roll,WATSON_AlcapurriaRol
alcapurria rolls,WATSON_AlcapurriaRol
alcoholic beverage,WATSON_AlcoholicBeverag
alcoholic beverages,WATSON_AlcoholicBeverag
alcoholic drink,WATSON_AlcoholicDrink
alcoholic drinks,WATSON_AlcoholicDrink
ale,WATSON_Al
ales,WATSON_Al
alfalfa,WATSON_Alfalfa
alfalfas,WATSON_Alfalfa
alfalfa sprout,WATSON_AlfalfaSprout
alfalfa sprouts,WATSON_AlfalfaSprout
alfredo,WATSON_Alfredo
alfredoes,WATSON_Alfredo
all - bran,WATSON_All-Bran
all - brans,WATSON_All-Bran
all - bran loaf,WATSON_All-BranLoaf
all - bran loaves,WATSON_All-BranLoav
allspice,WATSON_Allspic
allspices,WATSON_Allspic
almond,WATSON_Almond
almonds,WATSON_Almond
almond butter,WATSON_AlmondButt
almond butters,WATSON_AlmondButt
alochol,WATSON_Alochol
alochols,WATSON_Alochol
amaranth,WATSON_Amaranth
amaranths,WATSON_Amaranth
amaranth leaves,WATSON_AmaranthLeav
amla,WATSON_Amla
amlas,WATSON_Amla
anchovies,WATSON_Anchovi
anchovy,WATSON_Anchovi
anchovy dressing,WATSON_AnchovyDress
anchovy dressings,WATSON_AnchovyDress
angel hair pasta,WATSON_AngelHairPasta
angel hair pastas,WATSON_AngelHairPasta
animal cookie,WATSON_AnimalCooki
animal cookies,WATSON_AnimalCooki
anise,WATSON_Anis
